MOI,Time,Cells,Replicate,Cell.line
0.5,9,69.81799,3,Vero E6
0.5,10,74.53887,3,Vero E6
0.5,11,76.95685,3,Vero E6
0.5,12,78.81644,3,Vero E6
0.5,13,80.02178,3,Vero E6
0.5,14,82.33283,3,Vero E6
0.5,15,84.63956,3,Vero E6
0.5,16,86.38467,3,Vero E6
0.5,17,87.85116,3,Vero E6
0.5,18,92.84727,3,Vero E6
0.5,19,96.27665,3,Vero E6
0.5,20,101.93,3,Vero E6
0.5,21,107.3454,3,Vero E6
0.5,22,111.3251,3,Vero E6
0.5,23,115.9421,3,Vero E6
0.5,24,119.3828,3,Vero E6
0.5,25,122.1294,3,Vero E6
0.5,26,123.3861,3,Vero E6
0.5,27,123.3703,3,Vero E6
0.5,28,126.8137,3,Vero E6
0.5,29,127.5714,3,Vero E6
0.5,30,127.1068,3,Vero E6
0.5,31,130.2234,3,Vero E6
0.5,32,132.7213,3,Vero E6
0.5,33,134.3228,3,Vero E6
0.5,34,138.7493,3,Vero E6
0.5,35,143.0271,3,Vero E6
0.5,36,144.419,3,Vero E6
0.5,37,149.3689,3,Vero E6
0.5,38,159.1689,3,Vero E6
0.5,39,163.0557,3,Vero E6
0.5,40,174.8184,3,Vero E6
0.5,41,186.2569,3,Vero E6
0.5,42,201.1204,3,Vero E6
0.5,43,215.5046,3,Vero E6
0.5,44,230.1821,3,Vero E6
0.5,45,243.5821,3,Vero E6
0.5,46,263.2934,3,Vero E6
0.5,47,284.9771,3,Vero E6
0.5,48,305.7822,3,Vero E6
1,0,0,1,Vero E6
1,1,0,1,Vero E6
1,2,0,1,Vero E6
1,3,1.400629,1,Vero E6
1,4,27.68944,1,Vero E6
1,5,58.70162,1,Vero E6
1,6,73.37473,1,Vero E6
1,7,80.10055,1,Vero E6
1,8,84.78466,1,Vero E6
1,9,87.6249,1,Vero E6
1,10,88.88625,1,Vero E6
1,11,90.38886,1,Vero E6
1,12,91.94028,1,Vero E6
1,13,94.71951,1,Vero E6
1,14,96.6004,1,Vero E6
1,15,98.71102,1,Vero E6
1,16,101.6811,1,Vero E6
1,17,104.4737,1,Vero E6
1,18,110.0672,1,Vero E6
